t1,T2,T5,T8,T10,t12,T13,T14,T3,T9
1/2024/0504 1,"Diverse Hersteller
Harald Neundlinger",Ø Höhe: 170 x 3 mm (159 x),Alte Tischlerei,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0504-001-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0504-001-001.JPG",1975 - 1990,,
1/2024/0504 2,"Rock-Ola Manufacturing Corporation, Chicago (IL), USA, Hersteller: Fort Lock, Chicago (IL)
Harald Neundlinger",,Alte Tischlerei,,,\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0504-002-000.JPG,1978,,
1/2024/0523 001,"Andreas Kulka
Mestro-Apparatebau","Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm",RZ 6.KTD.SR 04.F 26.B 04.,,https://www.radiomuseum.org/r/braun_bsk239d_bsk_239_d.html#google_vignette,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-001-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-001-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-001-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1939 - 1941,,
1/2024/0523 002,"Andreas Kulka
AEG-KWO","Masse: 0,01 kg
Objektmaß HxBxT: 105 x 40 x 30 mm",RZ 6.KTD.SR 04.F 26.B 04.,,https://www.radiomuseum.org/r/braun_bsk239d_bsk_239_d.html#google_vignette,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-002-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-002-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-002-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1939 - 1941,,
1/2024/0523 003,"Andreas Kulka
Telefunken - Gesellschaft für Drahtlose Telegraphie mbH","Masse: 0,01 kg
Objektmaß HxBxT: 60 x 135 x 55 mm",RZ 6.KTD.SR 04.F 26.B 04.,,https://www.radiomuseum.org/r/braun_bsk239d_bsk_239_d.html#google_vignette,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-003-009.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-003-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0523-003-001.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1939 - 1941,,
1/2024/0549 0,"Max Braun oHG (Elektrogeräte)
Hans Gugelot
unbekannt","Masse: 11,8 kg
Objektmaß HxBxT: 355 x 540 x 340 mm",RZ 6.KTD.SR 03.F 11.B 02.,,"Quelle: https://www.hansgugelot.com/braun-pk-g-g11/, Stand: 05.07.2024","\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0549-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0549-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0549-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1955,,
1/2024/0563 0,"unbekannt
unbekannt","Masse: 1,85 kg
Objektmaß HxBxT: 150 x 240 x 185 mm",RZ 6.KTD.SR 05.F 13.B 09,"Das Tischtelefon W 48 war nach dem W46, welches nicht die Zulassung durch die Deutsche Post erhielt, das zweite deutsche Nachkriegstelefon. Es wurde 1948 für die Deutsche Post in den westlichen Besatzungszonen (ab 1950 Deutsche Bundespost) entwickelt und ",,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0563-000-005.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0563-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0563-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1960er Jahre,,
1/2024/0564 0,"Siemens & Halske AG
unbekannt","Masse: 2,15 kg
Objektmaß HxBxT: 150 x 240 x 185 mm",RZ 6.KTD.SR 05.F 13.B 09,"Das Tischtelefon W 48 war nach dem W46, welches nicht die Zulassung durch die Deutsche Post erhielt, das zweite deutsche Nachkriegstelefon. Es wurde 1948 für die Deutsche Post in den westlichen Besatzungszonen (ab 1950 Deutsche Bundespost) entwickelt und ",,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0564-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0564-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0564-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1960er Jahre,,
1/2024/0565 0,"unbekannt
unbekannt","Masse: 2,05 kg
Objektmaß HxBxT: 150 x 240 x 185 mm",RZ 6.KTD.SR 05.F 13.B 09,"Das Tischtelefon W 48 war nach dem W46, welches nicht die Zulassung durch die Deutsche Post erhielt, das zweite deutsche Nachkriegstelefon. Es wurde 1948 für die Deutsche Post in den westlichen Besatzungszonen (ab 1950 Deutsche Bundespost) entwickelt und ",,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0565-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0565-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0565-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1959,,
1/2024/0566 0,"unbekannt
unbekannt","Masse: 1,9 kg
Objektmaß HxBxT: 170 x 240 x 185 mm",RZ 6.KTD.SR 05.F 13.B 09,"Das Tischtelefon W 48 war nach dem W46, welches nicht die Zulassung durch die Deutsche Post erhielt, das zweite deutsche Nachkriegstelefon. Es wurde 1948 für die Deutsche Post in den westlichen Besatzungszonen (ab 1950 Deutsche Bundespost) entwickelt und ",,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0566-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0566-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0566-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1959,,
1/2024/0579 0,"W.G. Pye & Co. Ltd.
Stroekens Sammlung","Objektmaß HxBxT: 145 x 480 x 385 mm
Masse: 13,3 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0579-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0579-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0579-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1970,,
1/2024/0581 0,"BTS - Broadcasting Television Systems GmbH
Stroekens Sammlung","Objektmaß HxBxT: 185 x 485 x 550 mm
Masse: 19,75 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0581-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0581-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0581-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0582 0,"BTS - Broadcasting Television Systems GmbH
Stroekens Sammlung","Objektmaß HxBxT: 270 x 480 x 500 mm
Masse: 28,5 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0582-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0582-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0582-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0582 1,"BTS - Broadcasting Television Systems GmbH
Stroekens Sammlung","Objektmaß HxBxT: 520 x 590 x 560 mm
Masse: 17,1 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0582-001-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0582-001-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0582-001-003.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
1/2024/0583 0,"Angénieux S.A.
Stroekens Sammlung","Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg",RZ 4.HR 22.F 00.E 01.PC,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0583-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1990,,
