t1,T2,T5,T8,T10,t12,T13,T14,T3,T9
1/2024/0607 1,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 180 x 500 x 320 mm
Masse: 5,5 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 10,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 80 x 95 x 290 mm
Masse: 0,9 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 11,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Ø Länge: 12 x 2400 mm
Masse: 0,35 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 12,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Masse: 0,25 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 13,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Masse: 9,2 kg
Objektmaß HxBxT: 180 x 650 x 460 mm",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1960,,
1/2024/0607 2,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Ø Länge: 60 x 122 mm
Masse: 0,33 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 3,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)",,RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 4,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 130 x 250 x 390 mm
Masse: 0,8 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 5,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 150 x 730 x 490 mm
Masse: 9,6 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 6,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 105 x 275 x 440 mm
Masse: 5,6 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 7,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 110 x 95 x 205 mm
Masse: 1,05 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 8,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Objektmaß HxBxT: 110 x 95 x 205 mm
Masse: 1,05 kg",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0607 9,"Fernseh AG/GmbH (Fese)
Zweites Deutsches Fernsehen (ZDF)","Masse: 1,05 kg
Objektmaß HxBxT: 110 x 95 x 205 mm",RZ 6.KTD.SR 6.F 01.B 05,,,,um 1965,,
1/2024/0667 0,"ANT Nachrichtentechnik GmbH, vormals AEG-Telefunken Nachrichtentechnik
Hans Dieter Lüke
Exquisit Produktionsbetrieb, ?",Objektmaß LxBxH: 1400 x 80 x 5 mm,RZ 5.OG.KTD.SR 07.F 08.B 02,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0667-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0667-000-001.JPG",um 1990,,
1/2024/0675 0,"Diverse Hersteller
Deutsche Grammophon-Gesellschaft (DGG) Berlin/Hannover","Masse: 1,6 kg
Objektmaß HxBxT: 120 x 280 x 120 mm (Verpackung)",RZ 6.KTD.SR 04.F 41.B 03,,,\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0675-000-000.JPG,1920 - 1940,,
1/2024/0694 0,"unbekannt
unbekannt","Objektmaß HxBxT: 115 x 300 x 150 mm
Masse: 0,9 kg",RZ 6.KTD.SR 04.F 27.B 03,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0694-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0694-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0694-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1928,,
1/2024/0695 0,"unbekannt
unbekannt","Objektmaß HxBxT: 140 x 140 x 70 mm
Masse: 0,6 kg",RZ 6.KTD.SR 04.F 27.B 03,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0695-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0695-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0695-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1910,,
1/2024/0697 0,"Hans Schmidt & Co
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Objektmaß HxBxT: 240 x 85 x 45 mm
Objektmaß HxBxT: 50 x 270 x 140 mm (Verpackung)
Masse: 0,4 kg",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0697-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0697-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0697-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1980,,
1/2024/0698 0,"Carl Mahr
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Objektmaß HxBxT: 110 x 117 x 110 mm
Masse: 0,9 kg",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0698-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0698-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0698-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1970,,
1/2024/0699 0,"unbekannt
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Objektmaß HxBxT: 30 x 185 x 185 mm (Verpackung)
Masse: 0,3 kg (inkl. Verpackung)
Ø Höhe: 120 x 4 mm",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0699-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0699-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0699-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1985,,
1/2024/0700 0,"Spindler & Hoyer
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Objektmaß HxBxT: 65 x 130 x 235 mm
Masse: 2,6 kg",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0700-000-006.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0700-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0700-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1985,,
1/2024/0701 0,"Entertainment Distribution Company (EDC)
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Ø Höhe: 130 x 30 mm
Masse: 0,75 kg",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0701-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0701-000-001.JPG",um 1985,,
1/2024/0702 0,"Entertainment Distribution Company (EDC)
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Objektmaß HxBxT: 50 x 110 x 110 mm
Masse: 2,9 kg",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0702-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0702-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0702-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1985,,
1/2024/0703 0,"unbekannt
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Ø Länge: 18 x 125 mm
Masse: 0,2 kg (mit Halter)
Objektmaß HxBxT: 30 x 150 x 42 mm (Halter)",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0703-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0703-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0703-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1985,,
1/2024/0704 0,"Polydor (Plattenlabel)
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Objektmaß LxBxH: 170 x 20 x 30 mm
Masse: 0,1 kg",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0704-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0704-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0704-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1985,,
1/2024/0705 0,"Polydor (Plattenlabel)
Entertainment Distribution Company (EDC)
KreHtiv Netzwerk Hannover e.V., Schenker","Ø Höhe: ca. 100 x 25 mm (3 Stück)
Masse: 0,55 kg (Gesamtgewicht)",RZ 6.KTD.SR 04.F 27.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0705-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0705-000-001.JPG",um 1985,,
1/2024/0732 0,"Siemens & Halske AG
unbekannt","Masse: 1,25 kg
Objektmaß HxBxT: 140 x 130 x 220 mm",RZ 6.KTD.SR 05.F 13.B 09,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0732-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0732-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0732-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1950er Jahre,,
1/2024/0733 0,"Siemens & Halske AG
unbekannt","Masse: 1,2 kg
Objektmaß HxBxT: 130 x 140 x 230 mm",RZ 6.KTD.SR 05.F 13.B 09,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0733-000-005.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0733-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0733-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1950er Jahre,,
1/2024/0734 0,"Siemens & Halske AG
unbekannt","Masse: 1,25 kg
Objektmaß HxBxT: 140 x 140 x 220 mm",RZ 6.KTD.SR 05.F 13.B 09,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0734-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0734-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0734-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1950er Jahre,,
1/2024/0735 0,unbekannt,"Masse: 0,65 kg
Objektmaß HxBxT: 110 x 100 x 230 mm",RZ 6.KTD.SR 05.F 13.B 09,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0735-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0735-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0735-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1960er Jahre,,
1/2024/0736 0,unbekannt,"Masse: 1,8 kg
Objektmaß HxBxT: 160 x 240 x 150 mm",RZ 6.KTD.SR 05.F 13.B 09,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0736-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0736-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0736-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1930er Jahre,,
1/2024/0737 0,unbekannt,"Masse: 1,7 kg
Objektmaß HxBxT: 135 x 110 x 60 mm",RZ 6.KTD.SR 05.F 14.B 04,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0737-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0737-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0737-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1970er Jahre,,
1/2024/0738 0,"Standard Elektric Lorenz AG (SEL)
unbekannt","Masse: 2 kg
Objektmaß HxBxT: 60 x 90 x 70 mm",kleiner Aufnahmeraum,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0738-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0738-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0738-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1970er Jahre,,
1/2024/0740 0,"Telefonbau & Normalzeit GmbH (TN, T&N)
Hotel Norddeutscher Hof (später Hotel Arco)","Objektmaß HxBxT: 795 x 760 x 520 mm
Masse: 71 kg",RZ 4.HR 03.F 01.E 02.PB,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0740-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0740-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0740-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1960er Jahre,,
1/2024/0745 0,"Deutsche Grammophon-Gesellschaft (DGG) Berlin/Hannover
Entertainment Distribution Company (EDC), Insolvenz 2016
KreHtiv Netzwerk Hannover e.V.","Objektmaß HxBxT: 155 x 133 x 500 mm
Masse: 8,3 kg",RZ 5.OG.KTD.SR 07.F 01.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0745-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0745-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0745-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1985,,
1/2024/0748 0,"Philips - Koninklijke Philips N. V.
Dieter Stroekens","Objektmaß HxBxT: 90 x 480 x 610 mm
Masse: 10,5 kg",RZ 5.OG.KTD.SR 07.F 01.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0748-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0748-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0748-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 2000,,
1/2024/0748 1,"BTS - Broadcasting Television Systems GmbH
Stroekens Sammlung","Objektmaß HxBxT: 445 x 480 x 720 mm
Masse: 105 kg",RZ 4.HR 21.F 00.E 02.PA,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0748-001-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0748-001-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0748-001-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 2000,,
1/2024/0749 0,"Philips - Koninklijke Philips N. V.
Dieter Stroekens","Objektmaß HxBxT: 45 x 480 x 400 mm
Masse: 4,4 kg",RZ 5.OG.KTD.SR 07.F 02.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0749-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0749-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0749-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0752 0,"BTS - Broadcasting Television Systems GmbH
Dieter Stroekens","Objektmaß HxBxT: 44 x 480 x 405 mm
Masse: 4,3 kg",RZ 5.OG.KTD.SR 07.F 02.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0752-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0752-000-003.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0752-000-004.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0754 0,"BTS - Broadcasting Television Systems GmbH
Dieter Stroekens","Objektmaß HxBxT: 90 x 485 x 280 mm
Masse: 4,3 kg",RZ 5.OG.KTD.SR 07.F 02.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0754-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0754-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0754-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0755 0,"BTS - Broadcasting Television Systems GmbH
Dieter Stroekens","Objektmaß HxBxT: 90 x 485 x 180 mm
Masse: 2 kg",RZ 5.OG.KTD.SR 07.F 02.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0755-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0755-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0755-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0759 0,"BTS - Broadcasting Television Systems GmbH
Zweites Deutsches Fernsehen (ZDF)
Dieter Stroekens","Objektmaß HxBxT: 45 x 480 x 45 mm
Masse: 0,6 kg",RZ 5.OG.KTD.SR 07.F 01.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0759-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0759-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0759-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0760 0,"BTS - Broadcasting Television Systems GmbH
Dieter Stroekens","Objektmaß HxBxT: 45 x 480 x 60 mm
Masse: 0,8 kg",RZ 5.OG.KTD.SR 07.F 01.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0760-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0760-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0760-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0761 0,"BTS - Broadcasting Television Systems GmbH
Dieter Stroekens","Objektmaß HxBxT: 45 x 480 x 45 mm
Masse: 0,4 kg",RZ 5.OG.KTD.SR 07.F 01.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0761-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0761-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0761-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0762 0,"BTS - Broadcasting Television Systems GmbH
Dieter Stroekens","Objektmaß HxBxT: 45 x 480 x 45 mm
Masse: 0,4 kg",RZ 5.OG.KTD.SR 07.F 01.B 04.,,,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0762-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0762-000-001.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0762-000-002.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",um 1995,,
1/2024/0768 0,"Medion AG, Essen
Wolfgang Dommer
Bundesnetzagentur (BNetzA), Stillegungsbescheid 2013",Objektmaß HxBxT: 60 x 205 x 170 mm,RZ 5.OG.KTD.SR 09.F 26.B 03,,siehe e-Akte,\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0768-000-000.JPG,um 2000,,
1/2024/0769 0,"unbekannt
Wolfgang Dommer",Objektmaß HxBxT: 95 x 75 x 75 mm,RZ 5.OG.KTD.SR 09.F 26.B 03,,,\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0769-000-000.JPG,um 2000,,
1/2024/0770 0,"unbekannt
Wolfgang Dommer",Objektmaß HxBxT: 55 x 65 x 85 mm,RZ 5.OG.KTD.SR 09.F 26.B 03,,,\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0770-000-000.JPG,um 2000,,
1/2024/0771 0,"Apple Computer Inc., Cupertino, California
Stefanie Lüke",Objektmaß HxBxT: 115 x 60 x 10 mm,Altbau Büro Lüke (333),,https://de.wikipedia.org/wiki/IPhone_4s,,2013,,
1/2024/0795 0,"Fernseh AG/GmbH (Fese)
unbekannt","Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg",RZ 5.OG.KTD.SR 09.F 08.B 01.,,http://www.fernsehmuseum.info/fese-kcp-40.html,"\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0795-000-006.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0795-000-007.JPG
\\dtmbgw2\museumplus\Objektbilder\verknüpft\2024\1-2024-0795-000-000.JPG
\\dtmbgw2\museumplus\Objektbilder\ve",1975,,
